"Year","Month","Temp","mes_numerico","theta","r"
1880,"Jan",-0.19,1,0,0.73
1880,"Feb",-0.25,2,0.523598775598299,0.67
1880,"Mar",-0.1,3,1.0471975511966,0.82
1880,"Apr",-0.17,4,1.5707963267949,0.75
1880,"May",-0.11,5,2.0943951023932,0.81
1880,"Jun",-0.22,6,2.61799387799149,0.7
1880,"Jul",-0.19,7,3.14159265358979,0.73
1880,"Aug",-0.11,8,3.66519142918809,0.81
1880,"Sep",-0.15,9,4.18879020478639,0.77
1880,"Oct",-0.24,10,4.71238898038469,0.68
1880,"Nov",-0.23,11,5.23598775598299,0.69
1880,"Dec",-0.18,12,5.75958653158129,0.74
1881,"Jan",-0.2,1,0,0.72
1881,"Feb",-0.15,2,0.523598775598299,0.77
1881,"Mar",0.03,3,1.0471975511966,0.95
1881,"Apr",0.04,4,1.5707963267949,0.96
1881,"May",0.05,5,2.0943951023932,0.97
1881,"Jun",-0.19,6,2.61799387799149,0.73
1881,"Jul",0,7,3.14159265358979,0.92
1881,"Aug",-0.04,8,3.66519142918809,0.88
1881,"Sep",-0.16,9,4.18879020478639,0.76
1881,"Oct",-0.22,10,4.71238898038469,0.7
1881,"Nov",-0.19,11,5.23598775598299,0.73
1881,"Dec",-0.07,12,5.75958653158129,0.85
1882,"Jan",0.15,1,0,1.07
1882,"Feb",0.13,2,0.523598775598299,1.05
1882,"Mar",0.04,3,1.0471975511966,0.96
1882,"Apr",-0.17,4,1.5707963267949,0.75
1882,"May",-0.15,5,2.0943951023932,0.77
1882,"Jun",-0.23,6,2.61799387799149,0.69
1882,"Jul",-0.17,7,3.14159265358979,0.75
1882,"Aug",-0.08,8,3.66519142918809,0.84
1882,"Sep",-0.15,9,4.18879020478639,0.77
1882,"Oct",-0.24,10,4.71238898038469,0.68
1882,"Nov",-0.17,11,5.23598775598299,0.75
1882,"Dec",-0.36,12,5.75958653158129,0.56
1883,"Jan",-0.3,1,0,0.62
1883,"Feb",-0.37,2,0.523598775598299,0.55
1883,"Mar",-0.13,3,1.0471975511966,0.79
1883,"Apr",-0.18,4,1.5707963267949,0.74
1883,"May",-0.17,5,2.0943951023932,0.75
1883,"Jun",-0.08,6,2.61799387799149,0.84
1883,"Jul",-0.07,7,3.14159265358979,0.85
1883,"Aug",-0.14,8,3.66519142918809,0.78
1883,"Sep",-0.21,9,4.18879020478639,0.71
1883,"Oct",-0.11,10,4.71238898038469,0.81
1883,"Nov",-0.23,11,5.23598775598299,0.69
1883,"Dec",-0.11,12,5.75958653158129,0.81
1884,"Jan",-0.13,1,0,0.79
1884,"Feb",-0.08,2,0.523598775598299,0.84
1884,"Mar",-0.36,3,1.0471975511966,0.56
1884,"Apr",-0.41,4,1.5707963267949,0.51
1884,"May",-0.34,5,2.0943951023932,0.58
1884,"Jun",-0.36,6,2.61799387799149,0.56
1884,"Jul",-0.3,7,3.14159265358979,0.62
1884,"Aug",-0.27,8,3.66519142918809,0.65
1884,"Sep",-0.27,9,4.18879020478639,0.65
1884,"Oct",-0.25,10,4.71238898038469,0.67
1884,"Nov",-0.34,11,5.23598775598299,0.58
1884,"Dec",-0.31,12,5.75958653158129,0.61
1885,"Jan",-0.59,1,0,0.33
1885,"Feb",-0.34,2,0.523598775598299,0.58
1885,"Mar",-0.27,3,1.0471975511966,0.65
1885,"Apr",-0.42,4,1.5707963267949,0.5
1885,"May",-0.46,5,2.0943951023932,0.46
1885,"Jun",-0.44,6,2.61799387799149,0.48
1885,"Jul",-0.34,7,3.14159265358979,0.58
1885,"Aug",-0.32,8,3.66519142918809,0.6
1885,"Sep",-0.29,9,4.18879020478639,0.63
1885,"Oct",-0.24,10,4.71238898038469,0.68
1885,"Nov",-0.24,11,5.23598775598299,0.68
1885,"Dec",-0.11,12,5.75958653158129,0.81
1886,"Jan",-0.44,1,0,0.48
1886,"Feb",-0.51,2,0.523598775598299,0.41
1886,"Mar",-0.43,3,1.0471975511966,0.49
1886,"Apr",-0.29,4,1.5707963267949,0.63
1886,"May",-0.25,5,2.0943951023932,0.67
1886,"Jun",-0.35,6,2.61799387799149,0.57
1886,"Jul",-0.19,7,3.14159265358979,0.73
1886,"Aug",-0.31,8,3.66519142918809,0.61
1886,"Sep",-0.24,9,4.18879020478639,0.68
1886,"Oct",-0.28,10,4.71238898038469,0.64
1886,"Nov",-0.28,11,5.23598775598299,0.64
1886,"Dec",-0.25,12,5.75958653158129,0.67
1887,"Jan",-0.73,1,0,0.19
1887,"Feb",-0.58,2,0.523598775598299,0.34
1887,"Mar",-0.36,3,1.0471975511966,0.56
1887,"Apr",-0.36,4,1.5707963267949,0.56
1887,"May",-0.31,5,2.0943951023932,0.61
1887,"Jun",-0.25,6,2.61799387799149,0.67
1887,"Jul",-0.26,7,3.14159265358979,0.66
1887,"Aug",-0.36,8,3.66519142918809,0.56
1887,"Sep",-0.26,9,4.18879020478639,0.66
1887,"Oct",-0.36,10,4.71238898038469,0.56
1887,"Nov",-0.26,11,5.23598775598299,0.66
1887,"Dec",-0.34,12,5.75958653158129,0.58
1888,"Jan",-0.34,1,0,0.58
1888,"Feb",-0.36,2,0.523598775598299,0.56
1888,"Mar",-0.41,3,1.0471975511966,0.51
1888,"Apr",-0.21,4,1.5707963267949,0.71
1888,"May",-0.22,5,2.0943951023932,0.7
1888,"Jun",-0.17,6,2.61799387799149,0.75
1888,"Jul",-0.11,7,3.14159265358979,0.81
1888,"Aug",-0.16,8,3.66519142918809,0.76
1888,"Sep",-0.12,9,4.18879020478639,0.8
1888,"Oct",0.01,10,4.71238898038469,0.93
1888,"Nov",0.02,11,5.23598775598299,0.94
1888,"Dec",-0.05,12,5.75958653158129,0.87
1889,"Jan",-0.1,1,0,0.82
1889,"Feb",0.16,2,0.523598775598299,1.08
1889,"Mar",0.06,3,1.0471975511966,0.98
1889,"Apr",0.09,4,1.5707963267949,1.01
1889,"May",-0.01,5,2.0943951023932,0.91
1889,"Jun",-0.1,6,2.61799387799149,0.82
1889,"Jul",-0.07,7,3.14159265358979,0.85
1889,"Aug",-0.2,8,3.66519142918809,0.72
1889,"Sep",-0.24,9,4.18879020478639,0.68
1889,"Oct",-0.26,10,4.71238898038469,0.66
1889,"Nov",-0.34,11,5.23598775598299,0.58
1889,"Dec",-0.3,12,5.75958653158129,0.62
1890,"Jan",-0.43,1,0,0.49
1890,"Feb",-0.45,2,0.523598775598299,0.47
1890,"Mar",-0.41,3,1.0471975511966,0.51
1890,"Apr",-0.3,4,1.5707963267949,0.62
1890,"May",-0.4,5,2.0943951023932,0.52
1890,"Jun",-0.25,6,2.61799387799149,0.67
1890,"Jul",-0.28,7,3.14159265358979,0.64
1890,"Aug",-0.39,8,3.66519142918809,0.53
1890,"Sep",-0.37,9,4.18879020478639,0.55
1890,"Oct",-0.25,10,4.71238898038469,0.67
1890,"Nov",-0.44,11,5.23598775598299,0.48
1890,"Dec",-0.32,12,5.75958653158129,0.6
1891,"Jan",-0.34,1,0,0.58
1891,"Feb",-0.47,2,0.523598775598299,0.45
1891,"Mar",-0.18,3,1.0471975511966,0.74
1891,"Apr",-0.28,4,1.5707963267949,0.64
1891,"May",-0.17,5,2.0943951023932,0.75
1891,"Jun",-0.21,6,2.61799387799149,0.71
1891,"Jul",-0.18,7,3.14159265358979,0.74
1891,"Aug",-0.17,8,3.66519142918809,0.75
1891,"Sep",-0.16,9,4.18879020478639,0.76
1891,"Oct",-0.22,10,4.71238898038469,0.7
1891,"Nov",-0.32,11,5.23598775598299,0.6
1891,"Dec",-0.04,12,5.75958653158129,0.88
1892,"Jan",-0.29,1,0,0.63
1892,"Feb",-0.12,2,0.523598775598299,0.8
1892,"Mar",-0.4,3,1.0471975511966,0.52
1892,"Apr",-0.33,4,1.5707963267949,0.59
1892,"May",-0.23,5,2.0943951023932,0.69
1892,"Jun",-0.22,6,2.61799387799149,0.7
1892,"Jul",-0.31,7,3.14159265358979,0.61
1892,"Aug",-0.27,8,3.66519142918809,0.65
1892,"Sep",-0.17,9,4.18879020478639,0.75
1892,"Oct",-0.14,10,4.71238898038469,0.78
1892,"Nov",-0.42,11,5.23598775598299,0.5
1892,"Dec",-0.39,12,5.75958653158129,0.53
1893,"Jan",-0.81,1,0,0.11
1893,"Feb",-0.56,2,0.523598775598299,0.36
1893,"Mar",-0.23,3,1.0471975511966,0.69
1893,"Apr",-0.28,4,1.5707963267949,0.64
1893,"May",-0.34,5,2.0943951023932,0.58
1893,"Jun",-0.25,6,2.61799387799149,0.67
1893,"Jul",-0.14,7,3.14159265358979,0.78
1893,"Aug",-0.25,8,3.66519142918809,0.67
1893,"Sep",-0.22,9,4.18879020478639,0.7
1893,"Oct",-0.18,10,4.71238898038469,0.74
1893,"Nov",-0.19,11,5.23598775598299,0.73
1893,"Dec",-0.32,12,5.75958653158129,0.6
1894,"Jan",-0.53,1,0,0.39
1894,"Feb",-0.3,2,0.523598775598299,0.62
1894,"Mar",-0.24,3,1.0471975511966,0.68
1894,"Apr",-0.46,4,1.5707963267949,0.46
1894,"May",-0.31,5,2.0943951023932,0.61
1894,"Jun",-0.41,6,2.61799387799149,0.51
1894,"Jul",-0.24,7,3.14159265358979,0.68
1894,"Aug",-0.24,8,3.66519142918809,0.68
1894,"Sep",-0.28,9,4.18879020478639,0.64
1894,"Oct",-0.23,10,4.71238898038469,0.69
1894,"Nov",-0.26,11,5.23598775598299,0.66
1894,"Dec",-0.22,12,5.75958653158129,0.7
1895,"Jan",-0.41,1,0,0.51
1895,"Feb",-0.43,2,0.523598775598299,0.49
1895,"Mar",-0.33,3,1.0471975511966,0.59
1895,"Apr",-0.22,4,1.5707963267949,0.7
1895,"May",-0.28,5,2.0943951023932,0.64
1895,"Jun",-0.21,6,2.61799387799149,0.71
1895,"Jul",-0.17,7,3.14159265358979,0.75
1895,"Aug",-0.17,8,3.66519142918809,0.75
1895,"Sep",-0.12,9,4.18879020478639,0.8
1895,"Oct",-0.11,10,4.71238898038469,0.81
1895,"Nov",-0.17,11,5.23598775598299,0.75
1895,"Dec",-0.15,12,5.75958653158129,0.77
1896,"Jan",-0.23,1,0,0.69
1896,"Feb",-0.13,2,0.523598775598299,0.79
1896,"Mar",-0.27,3,1.0471975511966,0.65
1896,"Apr",-0.31,4,1.5707963267949,0.61
1896,"May",-0.16,5,2.0943951023932,0.76
1896,"Jun",-0.12,6,2.61799387799149,0.8
1896,"Jul",-0.03,7,3.14159265358979,0.89
1896,"Aug",-0.06,8,3.66519142918809,0.86
1896,"Sep",-0.08,9,4.18879020478639,0.84
1896,"Oct",0.06,10,4.71238898038469,0.98
1896,"Nov",-0.05,11,5.23598775598299,0.87
1896,"Dec",-0.05,12,5.75958653158129,0.87
1897,"Jan",-0.16,1,0,0.76
1897,"Feb",-0.17,2,0.523598775598299,0.75
1897,"Mar",-0.14,3,1.0471975511966,0.78
1897,"Apr",-0.03,4,1.5707963267949,0.89
1897,"May",-0.02,5,2.0943951023932,0.9
1897,"Jun",-0.12,6,2.61799387799149,0.8
1897,"Jul",-0.03,7,3.14159265358979,0.89
1897,"Aug",-0.1,8,3.66519142918809,0.82
1897,"Sep",-0.09,9,4.18879020478639,0.83
1897,"Oct",-0.13,10,4.71238898038469,0.79
1897,"Nov",-0.19,11,5.23598775598299,0.73
1897,"Dec",-0.21,12,5.75958653158129,0.71
1898,"Jan",-0.04,1,0,0.88
1898,"Feb",-0.31,2,0.523598775598299,0.61
1898,"Mar",-0.52,3,1.0471975511966,0.4
1898,"Apr",-0.31,4,1.5707963267949,0.61
1898,"May",-0.31,5,2.0943951023932,0.61
1898,"Jun",-0.2,6,2.61799387799149,0.72
1898,"Jul",-0.23,7,3.14159265358979,0.69
1898,"Aug",-0.27,8,3.66519142918809,0.65
1898,"Sep",-0.22,9,4.18879020478639,0.7
1898,"Oct",-0.35,10,4.71238898038469,0.57
1898,"Nov",-0.39,11,5.23598775598299,0.53
1898,"Dec",-0.24,12,5.75958653158129,0.68
1899,"Jan",-0.17,1,0,0.75
1899,"Feb",-0.39,2,0.523598775598299,0.53
1899,"Mar",-0.36,3,1.0471975511966,0.56
1899,"Apr",-0.21,4,1.5707963267949,0.71
1899,"May",-0.23,5,2.0943951023932,0.69
1899,"Jun",-0.32,6,2.61799387799149,0.6
1899,"Jul",-0.16,7,3.14159265358979,0.76
1899,"Aug",-0.09,8,3.66519142918809,0.83
1899,"Sep",-0.06,9,4.18879020478639,0.86
1899,"Oct",-0.04,10,4.71238898038469,0.88
1899,"Nov",0.12,11,5.23598775598299,1.04
1899,"Dec",-0.27,12,5.75958653158129,0.65
1900,"Jan",-0.37,1,0,0.55
1900,"Feb",-0.06,2,0.523598775598299,0.86
1900,"Mar",0,3,1.0471975511966,0.92
1900,"Apr",-0.1,4,1.5707963267949,0.82
1900,"May",-0.09,5,2.0943951023932,0.83
1900,"Jun",-0.11,6,2.61799387799149,0.81
1900,"Jul",-0.14,7,3.14159265358979,0.78
1900,"Aug",-0.09,8,3.66519142918809,0.83
1900,"Sep",-0.06,9,4.18879020478639,0.86
1900,"Oct",0.09,10,4.71238898038469,1.01
1900,"Nov",-0.08,11,5.23598775598299,0.84
1900,"Dec",-0.08,12,5.75958653158129,0.84
1901,"Jan",-0.22,1,0,0.7
1901,"Feb",-0.11,2,0.523598775598299,0.81
1901,"Mar",0.05,3,1.0471975511966,0.97
1901,"Apr",-0.03,4,1.5707963267949,0.89
1901,"May",-0.16,5,2.0943951023932,0.76
1901,"Jun",-0.12,6,2.61799387799149,0.8
1901,"Jul",-0.15,7,3.14159265358979,0.77
1901,"Aug",-0.21,8,3.66519142918809,0.71
1901,"Sep",-0.23,9,4.18879020478639,0.69
1901,"Oct",-0.29,10,4.71238898038469,0.63
1901,"Nov",-0.17,11,5.23598775598299,0.75
1901,"Dec",-0.28,12,5.75958653158129,0.64
1902,"Jan",-0.17,1,0,0.75
1902,"Feb",-0.09,2,0.523598775598299,0.83
1902,"Mar",-0.28,3,1.0471975511966,0.64
1902,"Apr",-0.28,4,1.5707963267949,0.64
1902,"May",-0.33,5,2.0943951023932,0.59
1902,"Jun",-0.32,6,2.61799387799149,0.6
1902,"Jul",-0.28,7,3.14159265358979,0.64
1902,"Aug",-0.31,8,3.66519142918809,0.61
1902,"Sep",-0.29,9,4.18879020478639,0.63
1902,"Oct",-0.3,10,4.71238898038469,0.62
1902,"Nov",-0.37,11,5.23598775598299,0.55
1902,"Dec",-0.43,12,5.75958653158129,0.49
1903,"Jan",-0.25,1,0,0.67
1903,"Feb",-0.07,2,0.523598775598299,0.85
1903,"Mar",-0.24,3,1.0471975511966,0.68
1903,"Apr",-0.42,4,1.5707963267949,0.5
1903,"May",-0.4,5,2.0943951023932,0.52
1903,"Jun",-0.43,6,2.61799387799149,0.49
1903,"Jul",-0.35,7,3.14159265358979,0.57
1903,"Aug",-0.46,8,3.66519142918809,0.46
1903,"Sep",-0.5,9,4.18879020478639,0.42
1903,"Oct",-0.47,10,4.71238898038469,0.45
1903,"Nov",-0.42,11,5.23598775598299,0.5
1903,"Dec",-0.52,12,5.75958653158129,0.4
1904,"Jan",-0.64,1,0,0.28
1904,"Feb",-0.59,2,0.523598775598299,0.33
1904,"Mar",-0.52,3,1.0471975511966,0.4
1904,"Apr",-0.51,4,1.5707963267949,0.41
1904,"May",-0.52,5,2.0943951023932,0.4
1904,"Jun",-0.49,6,2.61799387799149,0.43
1904,"Jul",-0.52,7,3.14159265358979,0.4
1904,"Aug",-0.49,8,3.66519142918809,0.43
1904,"Sep",-0.56,9,4.18879020478639,0.36
1904,"Oct",-0.39,10,4.71238898038469,0.53
1904,"Nov",-0.18,11,5.23598775598299,0.74
1904,"Dec",-0.34,12,5.75958653158129,0.58
1905,"Jan",-0.36,1,0,0.56
1905,"Feb",-0.6,2,0.523598775598299,0.32
1905,"Mar",-0.22,3,1.0471975511966,0.7
1905,"Apr",-0.35,4,1.5707963267949,0.57
1905,"May",-0.3,5,2.0943951023932,0.62
1905,"Jun",-0.29,6,2.61799387799149,0.63
1905,"Jul",-0.27,7,3.14159265358979,0.65
1905,"Aug",-0.21,8,3.66519142918809,0.71
1905,"Sep",-0.19,9,4.18879020478639,0.73
1905,"Oct",-0.25,10,4.71238898038469,0.67
1905,"Nov",-0.08,11,5.23598775598299,0.84
1905,"Dec",-0.14,12,5.75958653158129,0.78
1906,"Jan",-0.29,1,0,0.63
1906,"Feb",-0.3,2,0.523598775598299,0.62
1906,"Mar",-0.19,3,1.0471975511966,0.73
1906,"Apr",-0.06,4,1.5707963267949,0.86
1906,"May",-0.26,5,2.0943951023932,0.66
1906,"Jun",-0.2,6,2.61799387799149,0.72
1906,"Jul",-0.23,7,3.14159265358979,0.69
1906,"Aug",-0.2,8,3.66519142918809,0.72
1906,"Sep",-0.28,9,4.18879020478639,0.64
1906,"Oct",-0.21,10,4.71238898038469,0.71
1906,"Nov",-0.38,11,5.23598775598299,0.54
1906,"Dec",-0.15,12,5.75958653158129,0.77
1907,"Jan",-0.44,1,0,0.48
1907,"Feb",-0.52,2,0.523598775598299,0.4
1907,"Mar",-0.28,3,1.0471975511966,0.64
1907,"Apr",-0.38,4,1.5707963267949,0.54
1907,"May",-0.47,5,2.0943951023932,0.45
1907,"Jun",-0.42,6,2.61799387799149,0.5
1907,"Jul",-0.36,7,3.14159265358979,0.56
1907,"Aug",-0.35,8,3.66519142918809,0.57
1907,"Sep",-0.35,9,4.18879020478639,0.57
1907,"Oct",-0.23,10,4.71238898038469,0.69
1907,"Nov",-0.47,11,5.23598775598299,0.45
1907,"Dec",-0.47,12,5.75958653158129,0.45
1908,"Jan",-0.45,1,0,0.47
1908,"Feb",-0.33,2,0.523598775598299,0.59
1908,"Mar",-0.56,3,1.0471975511966,0.36
1908,"Apr",-0.45,4,1.5707963267949,0.47
1908,"May",-0.38,5,2.0943951023932,0.54
1908,"Jun",-0.39,6,2.61799387799149,0.53
1908,"Jul",-0.36,7,3.14159265358979,0.56
1908,"Aug",-0.46,8,3.66519142918809,0.46
1908,"Sep",-0.36,9,4.18879020478639,0.56
1908,"Oct",-0.44,10,4.71238898038469,0.48
1908,"Nov",-0.52,11,5.23598775598299,0.4
1908,"Dec",-0.5,12,5.75958653158129,0.42
1909,"Jan",-0.74,1,0,0.18
1909,"Feb",-0.47,2,0.523598775598299,0.45
1909,"Mar",-0.55,3,1.0471975511966,0.37
1909,"Apr",-0.6,4,1.5707963267949,0.32
1909,"May",-0.55,5,2.0943951023932,0.37
1909,"Jun",-0.52,6,2.61799387799149,0.4
1909,"Jul",-0.45,7,3.14159265358979,0.47
1909,"Aug",-0.34,8,3.66519142918809,0.58
1909,"Sep",-0.39,9,4.18879020478639,0.53
1909,"Oct",-0.4,10,4.71238898038469,0.52
1909,"Nov",-0.32,11,5.23598775598299,0.6
1909,"Dec",-0.57,12,5.75958653158129,0.35
1910,"Jan",-0.43,1,0,0.49
1910,"Feb",-0.42,2,0.523598775598299,0.5
1910,"Mar",-0.52,3,1.0471975511966,0.4
1910,"Apr",-0.44,4,1.5707963267949,0.48
1910,"May",-0.35,5,2.0943951023932,0.57
1910,"Jun",-0.39,6,2.61799387799149,0.53
1910,"Jul",-0.35,7,3.14159265358979,0.57
1910,"Aug",-0.37,8,3.66519142918809,0.55
1910,"Sep",-0.39,9,4.18879020478639,0.53
1910,"Oct",-0.42,10,4.71238898038469,0.5
1910,"Nov",-0.57,11,5.23598775598299,0.35
1910,"Dec",-0.68,12,5.75958653158129,0.24
1911,"Jan",-0.62,1,0,0.3
1911,"Feb",-0.58,2,0.523598775598299,0.34
1911,"Mar",-0.61,3,1.0471975511966,0.31
1911,"Apr",-0.54,4,1.5707963267949,0.38
1911,"May",-0.52,5,2.0943951023932,0.4
1911,"Jun",-0.51,6,2.61799387799149,0.41
1911,"Jul",-0.43,7,3.14159265358979,0.49
1911,"Aug",-0.44,8,3.66519142918809,0.48
1911,"Sep",-0.41,9,4.18879020478639,0.51
1911,"Oct",-0.26,10,4.71238898038469,0.66
1911,"Nov",-0.21,11,5.23598775598299,0.71
1911,"Dec",-0.22,12,5.75958653158129,0.7
1912,"Jan",-0.26,1,0,0.66
1912,"Feb",-0.15,2,0.523598775598299,0.77
1912,"Mar",-0.38,3,1.0471975511966,0.54
1912,"Apr",-0.18,4,1.5707963267949,0.74
1912,"May",-0.22,5,2.0943951023932,0.7
1912,"Jun",-0.24,6,2.61799387799149,0.68
1912,"Jul",-0.43,7,3.14159265358979,0.49
1912,"Aug",-0.55,8,3.66519142918809,0.37
1912,"Sep",-0.58,9,4.18879020478639,0.34
1912,"Oct",-0.58,10,4.71238898038469,0.34
1912,"Nov",-0.4,11,5.23598775598299,0.52
1912,"Dec",-0.44,12,5.75958653158129,0.48
1913,"Jan",-0.41,1,0,0.51
1913,"Feb",-0.46,2,0.523598775598299,0.46
1913,"Mar",-0.43,3,1.0471975511966,0.49
1913,"Apr",-0.41,4,1.5707963267949,0.51
1913,"May",-0.45,5,2.0943951023932,0.47
1913,"Jun",-0.46,6,2.61799387799149,0.46
1913,"Jul",-0.37,7,3.14159265358979,0.55
1913,"Aug",-0.34,8,3.66519142918809,0.58
1913,"Sep",-0.35,9,4.18879020478639,0.57
1913,"Oct",-0.33,10,4.71238898038469,0.59
1913,"Nov",-0.2,11,5.23598775598299,0.72
1913,"Dec",-0.03,12,5.75958653158129,0.89
1914,"Jan",0.04,1,0,0.96
1914,"Feb",-0.1,2,0.523598775598299,0.82
1914,"Mar",-0.25,3,1.0471975511966,0.67
1914,"Apr",-0.3,4,1.5707963267949,0.62
1914,"May",-0.22,5,2.0943951023932,0.7
1914,"Jun",-0.26,6,2.61799387799149,0.66
1914,"Jul",-0.24,7,3.14159265358979,0.68
1914,"Aug",-0.17,8,3.66519142918809,0.75
1914,"Sep",-0.17,9,4.18879020478639,0.75
1914,"Oct",-0.04,10,4.71238898038469,0.88
1914,"Nov",-0.16,11,5.23598775598299,0.76
1914,"Dec",-0.05,12,5.75958653158129,0.87
1915,"Jan",-0.21,1,0,0.71
1915,"Feb",-0.04,2,0.523598775598299,0.88
1915,"Mar",-0.1,3,1.0471975511966,0.82
1915,"Apr",0.06,4,1.5707963267949,0.98
1915,"May",-0.06,5,2.0943951023932,0.86
1915,"Jun",-0.22,6,2.61799387799149,0.7
1915,"Jul",-0.12,7,3.14159265358979,0.8
1915,"Aug",-0.22,8,3.66519142918809,0.7
1915,"Sep",-0.2,9,4.18879020478639,0.72
